0 1 2 3 4 5 6 7
0 1 2 3 4 5 7 6
0 1 2 3 4 6 5 7
0 1 2 3 4 6 7 5
0 1 2 3 4 7 5 6
0 1 2 3 4 7 6 5
0 1 2 3 5 4 6 7
0 1 2 3 5 4 7 6
0 1 2 3 5 6 4 7
0 1 2 3 5 6 7 4
0 1 2 3 5 7 4 6
0 1 2 3 5 7 6 4
0 1 2 3 6 4 5 7
0 1 2 3 6 4 7 5
0 1 2 3 6 5 4 7
0 1 2 3 6 5 7 4
0 1 2 3 6 7 4 5
0 1 2 3 6 7 5 4
0 1 2 3 7 4 5 6
0 1 2 3 7 4 6 5
0 1 2 3 7 5 4 6
0 1 2 3 7 5 6 4
0 1 2 3 7 6 4 5
0 1 2 3 7 6 5 4
0 1 3 2 4 5 6 7
0 1 3 2 4 5 7 6
0 1 3 2 4 6 5 7
0 1 3 2 4 6 7 5
0 1 3 2 4 7 5 6
0 1 3 2 4 7 6 5
0 1 3 2 5 4 6 7
0 1 3 2 5 4 7 6
0 1 3 2 5 6 4 7
0 1 3 2 5 6 7 4
0 1 3 2 5 7 4 6
0 1 3 2 5 7 6 4
0 1 3 2 6 4 5 7
0 1 3 2 6 4 7 5
0 1 3 2 6 5 4 7
0 1 3 2 6 5 7 4
0 1 3 2 6 7 4 5
0 1 3 2 6 7 5 4
0 1 3 2 7 4 5 6
0 1 3 2 7 4 6 5
0 1 3 2 7 5 4 6
0 1 3 2 7 5 6 4
0 1 3 2 7 6 4 5
0 1 3 2 7 6 5 4
0 2 1 3 4 5 6 7
0 2 1 3 4 5 7 6
0 2 1 3 4 6 5 7
0 2 1 3 4 6 7 5
0 2 1 3 4 7 5 6
0 2 1 3 4 7 6 5
0 2 1 3 5 4 6 7
0 2 1 3 5 4 7 6
0 2 1 3 5 6 4 7
0 2 1 3 5 6 7 4
0 2 1 3 5 7 4 6
0 2 1 3 5 7 6 4
0 2 1 3 6 4 5 7
0 2 1 3 6 4 7 5
0 2 1 3 6 5 4 7
0 2 1 3 6 5 7 4
0 2 1 3 6 7 4 5
0 2 1 3 6 7 5 4
0 2 1 3 7 4 5 6
0 2 1 3 7 4 6 5
0 2 1 3 7 5 4 6
0 2 1 3 7 5 6 4
0 2 1 3 7 6 4 5
0 2 1 3 7 6 5 4
